date	drop_ID	Species	tube	male	hour_spawning	hour_video	time_after_spawning	time_after_spawning.min	time_after_min_round	egg_present	replicate	Total_Sperm	Total_Paths	Slow_Sperm	Motile_Sperm	Progressive_Motile_Sperm	Total_motile_sperm	Percent_Motile	Percent_Progressive	Percent_Total_Motile	Avg_Motile_VCL	Avg_Motile_VAP	Avg_Motile_VSL	Avg_Prog_Motile_VCL	Avg_Prog_Motile_VAP	Avg_Prog_Motile_VSL	Avg_Tot_Motile_VCL	Avg_Tot_Motile_VAP	Avg_Tot_Motile_VSL	Z-video	coments
2024-02-18	a	Lophelia	2	59	09:30	11:51	02:21	2.350	2.350	yes	1	183	138	1	36	100	136	19.67213115	54.64480874	74.31693989	76.1558262	60.31084502	35.05989931	121.4944165	107.2351097	92.54372488	109.5406339	94.70180679	77.44523282	down	most moving 
2024-02-18	b	Lophelia	2	59	09:30	11:51	02:21	2.350	2.350	yes	2	155	117	0	30	86	116	19.35483871	55.48387097	74.83870968	71.24996954	59.62684689	39.27169569	120.448485	107.4223453	92.87184972	107.5463261	94.9267387	78.87560199	down	most moving 
2024-02-18	c	Lophelia	2	59	09:30	11:51	02:21	2.350	2.350	yes	3	188	144	0	28	116	144	14.89361702	61.70212766	76.59574468	74.539188	59.39583014	40.33976919	120.4671044	108.3055826	92.50599122	111.5366762	98.79535295	82.36255916	down	most moving 
2024-02-18	a	Lophelia	2	59	09:30	11:45	02:15	2.250	2.350	no	1	231	171	0	46	122	168	19.91341991	52.81385281	72.72727273	67.73564058	54.98193794	35.20760355	116.3205677	105.9236563	85.23700328	102.8756417	91.75339051	71.59518874	down	most moving 
2024-02-18	b	Lophelia	2	59	09:30	11:45	02:15	2.250	2.350	no	2	249	179	2	45	131	176	18.07228916	52.61044177	70.68273092	70.62575035	54.88134364	37.74345353	115.3621549	103.5414049	83.78126945	103.9325514	91.03389977	71.91874945	down	most moving 
2024-02-18	c	Lophelia	2	59	09:30	11:45	02:15	2.250	2.350	no	3	311	239	1	55	177	232	17.68488746	56.91318328	74.59807074	78.22978704	59.63884837	40.03326133	117.1325013	103.7535314	84.294874	107.5748687	92.94679484	73.44181725	down	most moving 
2024-02-18	a	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	yes	1	272	162	2	63	95	158	23.16176471	34.92647059	58.08823529	65.56910411	54.09350644	29.00517762	108.4804226	98.14635165	76.14016686	91.32414006	80.56769854	57.27074188	down	most moving but slower
2024-02-18	b	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	yes	2	255	166	8	73	81	154	28.62745098	31.76470588	60.39215686	62.89467394	53.6568061	28.84210204	109.8144705	99.73030303	79.83511351	87.76219279	77.9324555	55.71821941	down	most moving but slower
2024-02-18	c	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	yes	3	243	155	7	80	67	147	32.9218107	27.57201646	60.49382716	65.91560701	55.95741044	31.09378125	108.1286447	97.74607427	77.58618309	85.1612955	75.0366613	52.18214354	down	most moving but slower
2024-02-18	a	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	no	1	401	222	11	109	99	208	27.18204489	24.6882793	51.87032419	63.44580049	52.41799295	31.32413891	110.5873011	99.06670051	75.52972061	85.91085212	74.68957209	52.52748482	down	most moving but slower
2024-02-18	b	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	no	2	400	248	13	130	103	233	32.5	25.75	58.25	61.22535573	50.29077926	25.36184999	110.7359613	98.84317038	73.93940456	83.12337934	71.81746891	46.93474227	down	most moving but slower
2024-02-18	c	Lophelia	2	59	09:30	22:31	13:01	13.017	13.017	no	3	387	246	15	133	97	230	34.36692506	25.06459948	59.43152455	63.46962997	52.1807383	29.12945262	108.09104	97.34703355	71.32633121	82.35799256	71.26663124	46.97644859	down	most moving but slower
2024-02-20	a	Lophelia	8	69	12:00	16:52	04:52	4.867	4.800	yes	1	394	319	9	45	264	309	11.4213198	67.00507614	78.42639594	106.1374914	60.18884312	61.30320727	134.8257904	115.8619077	92.57514084	130.5887402	107.6624929	87.99693523	down	many swiming fast
2024-02-20	b	Lophelia	8	69	12:00	16:52	04:52	4.867	4.800	yes	2	379	299	5	43	250	293	11.34564644	65.96306069	77.30870712	93.53457968	60.46108094	50.8876582	133.2601536	115.2737175	94.60340644	127.2913209	107.1337837	87.9860726	down	many swiming fast
2024-02-20	c	Lophelia	8	69	12:00	16:52	04:52	4.867	4.800	yes	3	294	241	2	40	198	238	13.60544218	67.34693878	80.95238095	88.81367799	54.08729103	52.94767703	131.4344887	115.8351395	97.93713461	124.4119947	105.3483599	90.38076178	down	many swiming fast
2024-02-20	a	Lophelia	8	69	12:00	16:44	04:44	4.733	4.800	no 	1	400	318	10	57	250	307	14.25	62.5	76.75	87.51017381	53.3539176	47.77694603	137.2942998	118.710028	91.739646	128.0557535	106.4868471	83.637163	down	many swiming fast
2024-02-20	b	Lophelia	8	69	12:00	16:44	04:44	4.733	4.800	no 	2	367	301	5	45	250	295	12.26158038	68.11989101	80.38147139	95.06906598	56.36313813	51.69895254	133.8943032	117.5170494	92.45614062	127.9110826	108.0928896	86.20629283	down	many swiming fast
2024-02-20	c	Lophelia	8	69	12:00	16:44	04:44	4.733	4.800	no	3	410	319	3	63	249	312	15.36585366	60.73170732	76.09756098	95.07023547	58.84674956	50.3724731	135.0865292	116.4261658	91.52745745	126.8535307	104.480261	83.06287958	down	many swiming fast
2024-02-20	a	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	1	61	52	1	5	46	51	8.196721311	75.40983607	83.60655738	60.13586896	55.89961558	29.64352344	135.1605323	122.3319235	113.6156234	127.8051731	115.8189521	105.3830646	down	many movig fast
2024-02-20	b	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	2	70	61	0	5	56	61	7.142857143	80	87.14285714	68.67792622	43.61541075	39.01711837	134.9558393	120.6733857	112.1238162	129.5232235	114.3571582	106.1314639	down	many movig fast
2024-02-20	c	Lophelia	9	69	12:00	16:42	04:42	4.700	4.700	yes	3	59	51	2	5	44	49	8.474576271	74.57627119	83.05084746	54.93517878	42.86905992	21.88491592	132.9619579	120.389541	111.3705251	125.0000417	112.4792878	102.2393405	down	many movig fast
2024-02-20	a	Lophelia	9	69	12:00	16:29	04:29	4.483	4.700	no 	1	141	89	0	8	81	89	5.673758865	57.44680851	63.12056738	41.41347733	37.57162304	17.48126575	134.5759446	120.6502024	105.8253992	126.2017902	113.1824649	97.88435348	down	many movig fast
2024-02-20	b	Lophelia	9	69	12:00	16:29	04:29	4.483	4.700	no 	2	110	65	0	4	61	65	3.636363636	55.45454545	59.09090909	43.40900276	38.7010547	14.43866046	133.3246483	119.9902323	109.7147668	127.7913778	114.9878213	103.8516218	down	many movig fast
